group,run,label,metric,mean,std_over_seeds,seed_means
ladder,2026-08-16_16-51-37,69-dim (full observation),survival_rate,1.0,0.0,1.000000;1.000000;1.000000;1.000000;1.000000
ladder,2026-08-16_16-51-37,69-dim (full observation),gait_contact_accuracy,0.9475592457142857,0.0003361961876217678,0.946999;0.947532;0.947684;0.947706;0.947875
ladder,2026-08-16_16-51-37,69-dim (full observation),mean_vx_error,0.2094340114285714,0.00024739685181043034,0.209379;0.209591;0.209635;0.209539;0.209027
ladder,2026-08-16_16-51-37,69-dim (full observation),mean_vy_error,0.21495917714285717,0.0001405032912679992,0.215160;0.214840;0.214893;0.214852;0.215051
ladder,2026-08-16_16-51-37,69-dim (full observation),mean_wz_error,0.08409748571428573,0.0005691772393516116,0.083220;0.084338;0.083866;0.084396;0.084668
ladder,2026-08-16_16-51-37,69-dim (full observation),mean_torque_norm,23.103724685714287,0.008018632988080756,23.090662;23.105953;23.102236;23.111197;23.108576
ladder,2026-08-16_16-51-37,69-dim (full observation),std_height,0.016999748571428573,3.0295459348602616e-05,0.017037;0.017004;0.016998;0.016953;0.017007
ladder,2026-08-16_16-51-37,69-dim (full observation),mean_abs_pitch,0.06770578285714286,0.00019987272031603192,0.067847;0.067624;0.067391;0.067804;0.067863
ladder,2026-08-16_22-05-59,68-dim (− base height),survival_rate,0.9986285714285715,0.0012519372742975344,0.996571;0.998857;0.998857;1.000000;0.998857
ladder,2026-08-16_22-05-59,68-dim (− base height),gait_contact_accuracy,0.9460614628571429,0.00046352545332216405,0.945316;0.946585;0.946224;0.946119;0.946063
ladder,2026-08-16_22-05-59,68-dim (− base height),mean_vx_error,0.18937993142857143,0.0005707488677525441,0.188720;0.189420;0.190051;0.188899;0.189810
ladder,2026-08-16_22-05-59,68-dim (− base height),mean_vy_error,0.20958909714285717,0.00027367794092133363,0.209508;0.209348;0.209845;0.209911;0.209333
ladder,2026-08-16_22-05-59,68-dim (− base height),mean_wz_error,0.09341963428571429,0.0002645122352789088,0.093493;0.093727;0.093434;0.092997;0.093447
ladder,2026-08-16_22-05-59,68-dim (− base height),mean_torque_norm,24.37623606857143,0.014148660840843912,24.389956;24.384892;24.384359;24.359179;24.362795
ladder,2026-08-16_22-05-59,68-dim (− base height),std_height,0.016505554285714284,5.779268225691761e-05,0.016404;0.016538;0.016512;0.016531;0.016542
ladder,2026-08-16_22-05-59,68-dim (− base height),mean_abs_pitch,0.05344802285714286,0.00017029732271074831,0.053232;0.053512;0.053447;0.053688;0.053361
ladder,2026-08-17_09-10-28,56-dim (− joint torques),survival_rate,0.9997714285714286,0.0005111012519999382,0.998857;1.000000;1.000000;1.000000;1.000000
ladder,2026-08-17_09-10-28,56-dim (− joint torques),gait_contact_accuracy,0.9510910993396535,0.0001350425606613265,0.950960;0.951020;0.951271;0.951007;0.951198
ladder,2026-08-17_09-10-28,56-dim (− joint torques),mean_vx_error,0.19773903960771494,0.00034775296606635544,0.197798;0.197896;0.197395;0.198209;0.197398
ladder,2026-08-17_09-10-28,56-dim (− joint torques),mean_vy_error,0.208658854109186,8.587097127829144e-05,0.208587;0.208633;0.208624;0.208643;0.208808
ladder,2026-08-17_09-10-28,56-dim (− joint torques),mean_wz_error,0.0790382672245832,0.00045768720867176457,0.078619;0.079476;0.079493;0.079076;0.078527
ladder,2026-08-17_09-10-28,56-dim (− joint torques),mean_torque_norm,23.351680807113436,0.0047586041440567306,23.351531;23.354846;23.356623;23.351199;23.344205
ladder,2026-08-17_09-10-28,56-dim (− joint torques),std_height,0.017416504347826087,2.2969850933931038e-05,0.017407;0.017386;0.017437;0.017411;0.017442
ladder,2026-08-17_09-10-28,56-dim (− joint torques),mean_abs_pitch,0.04875600878718535,0.00013628737598162947,0.048738;0.048793;0.048956;0.048712;0.048581
ladder,2026-08-17_20-51-38,53-dim (− base lin. vel.),survival_rate,0.9997714285714286,0.0005111012519999382,0.998857;1.000000;1.000000;1.000000;1.000000
ladder,2026-08-17_20-51-38,53-dim (− base lin. vel.),gait_contact_accuracy,0.9462070270022883,0.0003370174317770865,0.946343;0.946277;0.946515;0.945631;0.946269
ladder,2026-08-17_20-51-38,53-dim (− base lin. vel.),mean_vx_error,0.17170637209545603,0.0005684904306627967,0.171278;0.171916;0.172080;0.170953;0.172305
ladder,2026-08-17_20-51-38,53-dim (− base lin. vel.),mean_vy_error,0.21340710266100033,0.0004488732102857677,0.213274;0.213229;0.213050;0.213291;0.214192
ladder,2026-08-17_20-51-38,53-dim (− base lin. vel.),mean_wz_error,0.10210198653154627,0.00017314834724242004,0.102091;0.102380;0.101952;0.102125;0.101963
ladder,2026-08-17_20-51-38,53-dim (− base lin. vel.),mean_torque_norm,23.420087899915004,0.007328959848683335,23.423562;23.428330;23.419215;23.408530;23.420802
ladder,2026-08-17_20-51-38,53-dim (− base lin. vel.),std_height,0.016652827983000978,6.2216775641363e-05,0.016622;0.016689;0.016644;0.016573;0.016736
ladder,2026-08-17_20-51-38,53-dim (− base lin. vel.),mean_abs_pitch,0.032494036142530235,0.00016591903111925002,0.032308;0.032405;0.032726;0.032597;0.032435
raibert,2026-09-02_14-22-00,planner on measured $v_B$,survival_rate,0.9988571428571429,0.0011428571428571677,1.000000;0.997714;0.998857;0.997714;1.000000
raibert,2026-09-02_14-22-00,planner on measured $v_B$,gait_contact_accuracy,0.9370234517870353,0.00029782446542446907,0.937026;0.937527;0.936931;0.936758;0.936875
raibert,2026-09-02_14-22-00,planner on measured $v_B$,mean_vx_error,0.20939005914643172,0.0002550116314169494,0.209573;0.209373;0.209248;0.209058;0.209700
raibert,2026-09-02_14-22-00,planner on measured $v_B$,mean_vy_error,0.21401888279117037,0.0002691641780653502,0.213727;0.214032;0.214439;0.213855;0.214042
raibert,2026-09-02_14-22-00,planner on measured $v_B$,mean_wz_error,0.09321461147202384,0.00042473086431678146,0.092994;0.092846;0.093309;0.093012;0.093912
raibert,2026-09-02_14-22-00,planner on measured $v_B$,mean_torque_norm,22.468839273758128,0.002006530866389358,22.465542;22.469579;22.469890;22.468487;22.470698
raibert,2026-09-02_14-22-00,planner on measured $v_B$,std_height,0.017612362394706323,9.622341817450878e-05,0.017725;0.017529;0.017579;0.017524;0.017705
raibert,2026-09-02_14-22-00,planner on measured $v_B$,mean_abs_pitch,0.08848601105315208,0.0001824755268273536,0.088663;0.088618;0.088334;0.088564;0.088251
raibert,2026-08-17_20-51-38,planner on commanded $v_{cmd}$,survival_rate,0.9997714285714286,0.0005111012519999382,0.998857;1.000000;1.000000;1.000000;1.000000
raibert,2026-08-17_20-51-38,planner on commanded $v_{cmd}$,gait_contact_accuracy,0.9462070270022883,0.0003370174317770865,0.946343;0.946277;0.946515;0.945631;0.946269
raibert,2026-08-17_20-51-38,planner on commanded $v_{cmd}$,mean_vx_error,0.17170637209545603,0.0005684904306627967,0.171278;0.171916;0.172080;0.170953;0.172305
raibert,2026-08-17_20-51-38,planner on commanded $v_{cmd}$,mean_vy_error,0.21340710266100033,0.0004488732102857677,0.213274;0.213229;0.213050;0.213291;0.214192
raibert,2026-08-17_20-51-38,planner on commanded $v_{cmd}$,mean_wz_error,0.10210198653154627,0.00017314834724242004,0.102091;0.102380;0.101952;0.102125;0.101963
raibert,2026-08-17_20-51-38,planner on commanded $v_{cmd}$,mean_torque_norm,23.420087899915004,0.007328959848683335,23.423562;23.428330;23.419215;23.408530;23.420802
raibert,2026-08-17_20-51-38,planner on commanded $v_{cmd}$,std_height,0.016652827983000978,6.2216775641363e-05,0.016622;0.016689;0.016644;0.016573;0.016736
raibert,2026-08-17_20-51-38,planner on commanded $v_{cmd}$,mean_abs_pitch,0.032494036142530235,0.00016591903111925002,0.032308;0.032405;0.032726;0.032597;0.032435
