group,run,label,metric,mean,std_over_seeds,seed_means
ladder,2026-08-16_16-51-37,69-dim (full observation),survival_rate,0.9981714285714286,0.0010222025039999321,0.998857;0.997714;0.996571;0.998857;0.998857
ladder,2026-08-16_16-51-37,69-dim (full observation),gait_contact_accuracy,0.9443561600000001,8.121371554014626e-05,0.944371;0.944276;0.944268;0.944444;0.944421
ladder,2026-08-16_16-51-37,69-dim (full observation),mean_vx_error,0.19591842285714287,0.00043036007249743196,0.195807;0.195913;0.196577;0.195376;0.195919
ladder,2026-08-16_16-51-37,69-dim (full observation),mean_vy_error,0.2108559085714286,0.00026845175935731727,0.211165;0.210801;0.210703;0.211089;0.210522
ladder,2026-08-16_16-51-37,69-dim (full observation),mean_wz_error,0.08663673142857144,0.0005288668987291834,0.086847;0.086375;0.086906;0.085853;0.087202
ladder,2026-08-16_16-51-37,69-dim (full observation),mean_torque_norm,23.856339451428575,0.014342065119941547,23.848050;23.863934;23.854179;23.839225;23.876310
ladder,2026-08-16_16-51-37,69-dim (full observation),std_height,0.018459771428571428,5.564534929317205e-05,0.018430;0.018440;0.018510;0.018525;0.018394
ladder,2026-08-16_16-51-37,69-dim (full observation),mean_abs_pitch,0.027467314285714285,0.0001367548081458953,0.027328;0.027352;0.027440;0.027639;0.027577
ladder,2026-08-16_22-05-59,68-dim (− base height),survival_rate,1.0,0.0,1.000000;1.000000;1.000000;1.000000;1.000000
ladder,2026-08-16_22-05-59,68-dim (− base height),gait_contact_accuracy,0.9408546057142857,0.0005504593548916878,0.941395;0.940212;0.941090;0.940317;0.941259
ladder,2026-08-16_22-05-59,68-dim (− base height),mean_vx_error,0.20366694857142859,0.00029395963515767927,0.203463;0.203866;0.203969;0.203772;0.203264
ladder,2026-08-16_22-05-59,68-dim (− base height),mean_vy_error,0.2094952457142857,0.00041072699389036073,0.209024;0.209639;0.209744;0.209963;0.209106
ladder,2026-08-16_22-05-59,68-dim (− base height),mean_wz_error,0.09225716571428572,0.0002344758169506926,0.092186;0.091980;0.092627;0.092223;0.092270
ladder,2026-08-16_22-05-59,68-dim (− base height),mean_torque_norm,23.92701152,0.006238312986188813,23.935037;23.922609;23.919289;23.930446;23.927677
ladder,2026-08-16_22-05-59,68-dim (− base height),std_height,0.015205051428571429,6.868787255938866e-05,0.015220;0.015156;0.015292;0.015118;0.015239
ladder,2026-08-16_22-05-59,68-dim (− base height),mean_abs_pitch,0.06953209142857145,9.546153066411012e-05,0.069363;0.069562;0.069563;0.069593;0.069580
ladder,2026-08-17_09-10-28,56-dim (− joint torques),survival_rate,0.9981714285714286,0.0010222025039999321,0.998857;0.996571;0.998857;0.998857;0.997714
ladder,2026-08-17_09-10-28,56-dim (− joint torques),gait_contact_accuracy,0.9418031215174955,0.00020488991628157466,0.942000;0.941817;0.942008;0.941593;0.941597
ladder,2026-08-17_09-10-28,56-dim (− joint torques),mean_vx_error,0.1974236761538669,0.0007689802571881161,0.197278;0.196232;0.197417;0.198200;0.197991
ladder,2026-08-17_09-10-28,56-dim (− joint torques),mean_vy_error,0.20846936873050198,0.000369382162789269,0.208686;0.208214;0.208366;0.208086;0.208995
ladder,2026-08-17_09-10-28,56-dim (− joint torques),mean_wz_error,0.08509605420083916,0.0004851568765523321,0.084715;0.084692;0.084835;0.085527;0.085712
ladder,2026-08-17_09-10-28,56-dim (− joint torques),mean_torque_norm,23.882294360383646,0.0065620678474551004,23.881390;23.887569;23.890393;23.875684;23.876436
ladder,2026-08-17_09-10-28,56-dim (− joint torques),std_height,0.01711078358586934,2.759386083259753e-05,0.017110;0.017156;0.017089;0.017088;0.017111
ladder,2026-08-17_09-10-28,56-dim (− joint torques),mean_abs_pitch,0.046362753382199015,0.0003491400996865589,0.046038;0.046174;0.046184;0.046516;0.046902
ladder,2026-08-17_20-51-38,53-dim (− base lin. vel.),survival_rate,0.9965714285714284,0.001807015805810489,0.998857;0.997714;0.994286;0.996571;0.995429
ladder,2026-08-17_20-51-38,53-dim (− base lin. vel.),gait_contact_accuracy,0.9412432557635644,0.0003151211112117513,0.941036;0.941795;0.941178;0.941046;0.941162
ladder,2026-08-17_20-51-38,53-dim (− base lin. vel.),mean_vx_error,0.17139126889035167,0.0005306418192527067,0.171086;0.172306;0.171147;0.171397;0.171021
ladder,2026-08-17_20-51-38,53-dim (− base lin. vel.),mean_vy_error,0.21425378661786967,0.0002691397656514704,0.214391;0.214385;0.214037;0.213908;0.214548
ladder,2026-08-17_20-51-38,53-dim (− base lin. vel.),mean_wz_error,0.09246853571031173,0.0005588583184306979,0.092207;0.091675;0.092685;0.093165;0.092610
ladder,2026-08-17_20-51-38,53-dim (− base lin. vel.),mean_torque_norm,23.08474726629139,0.008906805156937175,23.077773;23.085176;23.099598;23.077999;23.083190
ladder,2026-08-17_20-51-38,53-dim (− base lin. vel.),std_height,0.016635395092323514,0.00012080299653192386,0.016704;0.016757;0.016521;0.016704;0.016490
ladder,2026-08-17_20-51-38,53-dim (− base lin. vel.),mean_abs_pitch,0.03430397988339039,0.00031595445748427975,0.033866;0.034606;0.034079;0.034470;0.034499
raibert,2026-09-02_14-22-00,planner on measured $v_B$,survival_rate,0.9977142857142857,0.0008081220356417861,0.996571;0.997714;0.997714;0.998857;0.997714
raibert,2026-09-02_14-22-00,planner on measured $v_B$,gait_contact_accuracy,0.9371824894505909,0.00029449156054988767,0.937489;0.936736;0.937399;0.937184;0.937104
raibert,2026-09-02_14-22-00,planner on measured $v_B$,mean_vx_error,0.20258226460647027,0.00026251248865621213,0.202698;0.202467;0.202542;0.202250;0.202953
raibert,2026-09-02_14-22-00,planner on measured $v_B$,mean_vy_error,0.2135404111645288,0.00021714414612641545,0.213648;0.213874;0.213399;0.213398;0.213381
raibert,2026-09-02_14-22-00,planner on measured $v_B$,mean_wz_error,0.09263753621438917,0.00035222783842613086,0.092467;0.092955;0.092883;0.092103;0.092780
raibert,2026-09-02_14-22-00,planner on measured $v_B$,mean_torque_norm,22.72512723049147,0.0077058356048957935,22.733049;22.714942;22.722067;22.732663;22.722915
raibert,2026-09-02_14-22-00,planner on measured $v_B$,std_height,0.017393575672328007,5.406999441094396e-05,0.017313;0.017367;0.017417;0.017422;0.017450
raibert,2026-09-02_14-22-00,planner on measured $v_B$,mean_abs_pitch,0.08336459088237147,0.00016423182645637085,0.083531;0.083494;0.083395;0.083134;0.083269
raibert,2026-08-17_20-51-38,planner on commanded $v_{cmd}$,survival_rate,0.9965714285714284,0.001807015805810489,0.998857;0.997714;0.994286;0.996571;0.995429
raibert,2026-08-17_20-51-38,planner on commanded $v_{cmd}$,gait_contact_accuracy,0.9412432557635644,0.0003151211112117513,0.941036;0.941795;0.941178;0.941046;0.941162
raibert,2026-08-17_20-51-38,planner on commanded $v_{cmd}$,mean_vx_error,0.17139126889035167,0.0005306418192527067,0.171086;0.172306;0.171147;0.171397;0.171021
raibert,2026-08-17_20-51-38,planner on commanded $v_{cmd}$,mean_vy_error,0.21425378661786967,0.0002691397656514704,0.214391;0.214385;0.214037;0.213908;0.214548
raibert,2026-08-17_20-51-38,planner on commanded $v_{cmd}$,mean_wz_error,0.09246853571031173,0.0005588583184306979,0.092207;0.091675;0.092685;0.093165;0.092610
raibert,2026-08-17_20-51-38,planner on commanded $v_{cmd}$,mean_torque_norm,23.08474726629139,0.008906805156937175,23.077773;23.085176;23.099598;23.077999;23.083190
raibert,2026-08-17_20-51-38,planner on commanded $v_{cmd}$,std_height,0.016635395092323514,0.00012080299653192386,0.016704;0.016757;0.016521;0.016704;0.016490
raibert,2026-08-17_20-51-38,planner on commanded $v_{cmd}$,mean_abs_pitch,0.03430397988339039,0.00031595445748427975,0.033866;0.034606;0.034079;0.034470;0.034499
